tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2026-800,Brisbane,Hard,64,P,20260101,1,214544,1,,Aryna Sabalenka,R,182,BLR,,216146,16,,Marta Kostyuk,R,175,UKR,,6-4 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,
2026-800,Brisbane,Hard,64,P,20260101,2,216146,16,,Marta Kostyuk,R,175,UKR,,202468,4,,Jessica Pegula,R,170,USA,,6-0 6-3,3,SF,,,,,,,,,,,,,,,,,,,,,,,
2026-800,Brisbane,Hard,64,P,20260101,3,214544,1,,Aryna Sabalenka,R,182,BLR,,214096,11,,Karolina Muchova,R,178,CZE,,6-3 6-4,3,SF,,,,,,,,,,,,,,,,,,,,,,,
2026-800,Brisbane,Hard,64,P,20260101,4,216146,16,,Marta Kostyuk,R,175,UKR,,259799,6,,Mirra Andreeva,R,,RUS,,7-6(7) 6-3,3,QF,,,,,,,,,,,,,,,,,,,,,,,
2026-800,Brisbane,Hard,64,P,20260101,5,202468,4,,Jessica Pegula,R,170,USA,,214643,10,,Liudmila Samsonova,R,180,RUS,,6-3 7-6(3),3,QF,,,,,,,,,,,,,,,,,,,,,,,
2026-800,Brisbane,Hard,64,P,20260101,6,214096,11,,Karolina Muchova,R,178,CZE,,214981,3,,Elena Rybakina,R,184,KAZ,,6-2 2-6 6-4,3,QF,,,,,,,,,,,,,,,,,,,,,,,
2026-800,Brisbane,Hard,64,P,20260101,7,214544,1,,Aryna Sabalenka,R,182,BLR,,201619,5,,Madison Keys,R,178,USA,,6-3 6-3,3,QF,,,,,,,,,,,,,,,,,,,,,,,
2026-800,Brisbane,Hard,64,P,20260101,8,216146,16,,Marta Kostyuk,R,175,UKR,,216153,2,,Amanda Anisimova,R,180,USA,,6-4 6-3,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2026-800,Brisbane,Hard,64,P,20260101,9,259799,6,,Mirra Andreeva,R,,RUS,,222328,9,,Linda Noskova,R,,CZE,,5-7 6-4 7-5,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2026-800,Brisbane,Hard,64,P,20260101,10,202468,4,,Jessica Pegula,R,170,USA,,215035,,,Dayana Yastremska,R,175,UKR,,5-7 6-2 6-3,3,R16,,,,,,,,,,,,,,,,,,,,,,,
